61,340,"Автономная 			некоммерческая организация ""Музейная организация ""Славянская 			деревня""","Брянская 			область, соседние регионы России, Украины, Белоруссии","""Создание 			культурно-исторического центра возрождения народных ремесел, фольклора и быта 			жителей северо-западных районов Брянской области""",1 000 000
62,341,"Новгородская 			региональная организация Общероссийской общественной организации инвалидов 			""Всероссийское ордена Трудового Красного Знамени общество слепых""",Новгородская 			область,Продвижение 			современных технологий чтения для социокультурной реабилитации инвалидов по 			зрению,400 000
63,367,Некоммерческое 			партнерство Юридический Консалтинговый  			Центр «РЭНАСТ»,Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,«Право 			детям»,8 000 000
64,368,Некоммерческое 			партнерство «ВКК - Национальный союз кадровиков»,Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,«Разработка 			профессиональных стандартов и рекомендаций по внесению изменений в  образовательные стандарты подготовки 			специалистов по управлению персоналом на 			основе комплексного анализа соответствия стандартов  потребностям работодателей (рынка)»,2 700 000
65,374,Общественная 			организация «Вольное экономическое общество России»,Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,Экономический 			рост России и экономическая безопасность,1 500 000
66,375,"Международный Союз экономистов, International Union of Economists, Inc.","Российская 			Федерация, США, Швейцария, Москва",Мировая 			экономика до 2020 года  и экономическая 			безопасность,1 000 000
67,376,Негосударственное 			учреждение дополнительного образования «Юношеская автомобильная школа»,"Москва, 			Московская область",Воспитательная  программа по созданию условий для детей и 			молодежи для  активного проведения 			досуга,700 000
68,395,"Благотворительный 			Фонд ""Арлекин""",Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,"Конкурс на 			соискание Национальной премии в области театрального искусства для детей 			""Арлекин"" 2009 г. и Шестой Всероссийский фестиваль театрального 			искусства для детей ""Арлекин""",400 000
69,397,НУ «Центр 			стандартизации и сертификации в непроизводственных отраслях экономики»,Центральный 			федеральный округ Российской Федерации,Природные 			факторы и социально-экономические условия развития туризма регионов 			Центральной России,800 000
70,404,"Международный 			благотворительный фонд помощи православному образованию и просвещению 			""Слово""",Территория 			Российской Федерации и зарубежья,Развитие 			культурно-информационного просветительского центра,1 000 000
71,414,Межрегиональный 			общественный фонд культурно-просветительского и информационного содействия 			государственным программам «Согласие»,Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,«Экспериментальная 			творческая мастерская «ЭТМ»,2 500 000
72,421,"Алтайское региональное 			отделение общероссийской общественной организации инвалидов 			""Всероссийское общество глухих""","Алтайский 			край : Барнаул, Бийск, Камень на Оби, Рубцовск, Славгород, р.п. Благовещенка, 			с. Кулунда","Культура, 			как средство творческого развития инвалидов по слуху",300 000
73,435,"Общероссийская 			общественная организация «Национальная система развития научной, творческой и 			инновационной деятельности молодежи России «Интеграция»",Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,Активизация 			инновационных методов социально-психологической адаптации инвалидов в 			современном обществе,700 000
74,438,"Региональная 			общественная организация содействия защите женщин ""Женщины нашего 			города""","12 			муниципальных объединений России и 2 округа Москвы, г. Днепропетровск 			(Украина), гг. Охрид, Струга, Битола (Республика Македония), муниципальный 			округ-курорт г. Лозонец (Болгария), города Лудза (Латвия), Заславль 			(Белоруссия), Грузия (Абхазия)","""Народная 			женская дипломатия""",1 000 000
75,441,"Автономная 			некоммерческая организация ""Академия управления недвижимостью""","Москва, 			Московская область, Курск и Курская область",Содействие 			развитию самоуправления граждан в жилищной сфере,3 500 000
76,445,"Региональная 			общественная организация ""Центр экологической политики России""",Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; Южный 			ФО; Центральный ФО; Приволжский ФО,"Создание 			института общественной политики ""Институт устойчивого развития""",4 500 000
77,452,Автономная 			некоммерческая организация «Институт Русского зарубежья»,"Российская 			Федерация, Страны СНГ и Балтии, Дальнее зарубежье",Реконструкция 			и развитие Информационно-аналитического Интернет-портала «Россия и 			соотечественники»,800 000
78,461,Воронежское 			региональное общественное движение «Женское единство»,Воронежская  область,«Народная 			женская дипломатия»,2 000 000
79,468,Автономная 			некоммерческая организация «Институт диаспоры и интеграции»  («Институт стран СНГ»),"Киев, 			Крым, Донецкая, Луганская, Харьковская, Одесская  области Украины",Совершенствование 			механизма общественной дипломатии как средства позитивного изменения 			российско-украинских отношений и внедрения исторической правды в общественное 			знание народов России и Украины,2 100 000
80,483,Некоммерческое 			партнерство «Центр Современных Технологий»,Российская 			Федерация и страны СНГ,Формирование 			венчурного банка данных для широкой общественности об инновационных 			разработках в России и странах СНГ и разработка механизмов информационного 			взаимодействия участников инновационных процессов,3 000 000
81,485,Общероссийская 			общественная организация «Российская ассоциация политической науки»,"Москва, 			Санкт-Петербург, Нижний Новгород, Екатеринбург, Ростов, Краснодар,  Астрахань, Воронеж",«Внедрение 			мировых стандартов политологического образования в российских регионах и 			включение российских университетов в международный диалог политических 			культур»,800 000
82,492,Общественная 			организация «Северодвинская городская  			организация общества  «Знание» 			России»,"Северодвинск, 			Архангельской области",Единение 			поколений,442 265
83,494,Автономная 			Некоммерческая Организация «Брасс-Аккорд»,"Орёл, 			Иваново, Архангельск, Воронеж, Переславль-Залесский, Брянская область, Киров, 			Подмосковье",Исторический 			Бал,1 800 000
84,497,Региональная 			общественная организация Ревнителей московского исторического наследия и 			памяти «Москва – вековечная столица государства»,г. Москва,«Золотые 			ритмы Москвы. Москва – вековечная столица России»,2 000 000
85,517,"Некоммерческий 			Фонд поддержки книгоиздания, образования и новых информационных технологий 			«Пушкинская библиотека»",г. Москва,«Всероссийская 			Школа библиотечного лидерства-2: Системные изменения позиции  библиотекарей и библиотек в местных 			сообществах»,2 500 000
86,528,Региональный 			общественный фонд содействия социально-экономического развития  «Танаис»,Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,Создание 			модели устойчивого и гармоничного взаимодействия человека и окружающей 			природы в рамках обустройства экологического поселения на основе 			инновационных технологий,3 000 000
