63,757,Ассоциация молодежных организаций Республики Дагестан   «Содружество»,г. Махачкала             Республика Дагестан             ЮФО,Центр помощи безработным молодым гражданам в организации   малого предпринимательства и самозанятости в Республике Дагестан,"991 400,00","Республика Дагестан: города: Махачкала, Дербент,   Дагестанские огни, Хасавюрт, районы: Акушинский, Дербентский,   Карабудахкентский"
64,759,Автономная некоммерческая организация «Центр Новой   драматургии «Документальная сцена» (ТЕАТР. DOC),г. Москва             ЦФО,«Документальный театр – играем против кризиса»,"900 000,00","г. Москва, г.   Тула,г. Лысьва, г. Киров"
65,772,Санкт-Петербургский благотворительный общественный фонд   «Общество бурятской культуры «Ая-Ганга»,г. Санкт-Петербург             СЗФО,Организация этнокультурного детского досугового центра и   презентация его в международный День мира 21 сентября 2010 г.,"492 750,00",Санкт-Петербург и Ленинградская область
66,781,Владимирское областное отделение Общероссийского   общественного благотворительного фонда «Российский детский фонд»,г.Владимир             Владимирская область             ЦФО,"«Соучастие в судьбе» (адресная поддержкабезработных семейных граждан с детьми,   нуждающихся в срочной социальной помощи)","9 781 000,00","Вязниковский, Камешковский, Меленковский, Судогодский   районы и г. Радужный Владимирской области"
67,790,"Межрегиональный благотворительный общественный фонд   содействия в создании условий, обеспечивающих достойную жизнь и свободное   развитие человека «Созидание»",г. Москва             ЦФО,Добровольцы без границ,"1 350 000,00",Российская Федерация
68,791,Ульяновское местное молодежное общественное движение   «Ассоциация учащейся молодежи»,г.Ульяновск             Ульяновская область             ПФО,«Инвестиции в молодежь» (Содействие развитию   общественно-ориентированного образования в моногороде Димитровграде ),"1 000 000,00","г. Дмитровград, Ульяновская область"
69,793,Автономная некоммерческая организация «Международная   организация по наблюдению за выборами «CIS-EMO»,г. Москва             ЦФО,Центр мониторинга демократических процессов «Кворум»,"5 500 000,00",Российская Федерация
70,819,Общественный фонд «Культура»г. Стрежевой Томской области,г. Стрежевой             Томская область             СФО,«Россия на монетах»,"103 000,00","г.Стрежевой, с.Александровское Томской области"
71,833,"Пермский общественный фонд культуры «Юрятин»,             общественное объединение",г. Пермь             Пермский край ПФО,Программа возрождения горнозаводской территории«Всеволодо-Вильва: от заводского поселка -   к центру творческих индустрий»,"1 000 000,00","г. Пермь, Александровский район Пермского края"
72,862,Автономная некоммерческая организация   «Культурно-выставочный центр «Радуга»,г. Ульяновск             Ульяновская область             ПФО,Шедевры мировой живописи - детям,"1 200 000,00","г. Ульяновск, Ульяновская область, г. Йошкар-Ола, г.   Саратов,г. Уфа, г. Чапаевск   (Самарская область), г.Чебоксары"
73,880,Некоммерческая ассоциация «Поволжский центр культур   финно-угорских народов»,г.Саранск             Республика Мордовия              ПФО,Расширение информационного пространства финно-угорских   народов (организация сети корреспондентских пунктов общероссийской   культурно-просветительской и образовательной «Финно-угорской газеты»),"3 000 000,00","Республика Мордовия, Республика Башкортостан, Республика   Татарстан, Республика Марий Эл, Удмуртская Республика, Республика Карелия,   Республика Коми, Ханты-Мансийский автономный округ, Коми-Пермяцкий автономный   округ, Пензенская, Самарская, Нижегородская, Оренбургская, Ульяновская,   Саратовская области"
74,895,Женская общественная организация «Современницы»             г. Ангарска и Ангарского района,"г. Ангарск,             Иркутская область,             СФО",«Компас надежды»,"500 000,00","Иркутская область, г. Ангарск, Ангарский район"
75,904,Мордовское республиканское отделение              Общероссийского общественного благотворительного фонда «Российский детский   фонд»,"г.Саранск,   Республика Мордовия              ПФО",«Новая жизнь»,"1 038 980,00",Республика Мордовия
76,909,Автономная некоммерческая организация Средняя общеобразовательная   частная школа «Наследник»,г.Москва             ЦФО,"«Формирование страховой грамотности и культуры методами   инклюзивного и дистанционного обучения, как фактор обеспечениязащиты гражданских прав и интересов детей   из социально незащищенных групп и детей-инвалидов»","1 500 000,00","гг.Москва,   Санкт-Петербург, Нижний Новгород, Ленинградская, Рязанская, Ярославская,   Мурманская, Кемеровская, Московская, Воронежская, Архангельская, Саратовская,   Костромская, Омская, Оренбургская, Самарская, Смоленская, Тюменская,   Иркутская, Калининградская, Липецкая, Тульская, Владимирская области,   Приморский край,Красноярский край,   Краснодарский край, Республика Бурятия, Ханты-Мансийский Автономный округ –   Югра"
77,911,Межрегиональное общественное движение по содействию   укрепления гражданского общества «Сплоченность и взаимодействие»,г. Москва             ЦФО,Круглые столы молодых писателей: образ «героя»,"3 000 000,00",Российская Федерация
78,913,Межрегиональная общественная организация   Научно-просветительный центр «Холокост»,г. Москва             ЦФО,Противодействие антисемитизму в странах СНГ и Балтии на примере изучения темы   Холокоста,"2 000 000,00","Российская Федерация, Беларусь, Украина, Эстония, Латвия,   Литва"
79,914,Региональная общественная организация «Содействие   осуществлению этнологического мониторинга и раннему предупреждению   конфликтов»,г.Москва             ЦФО,Социальная ориентация российской школы в условиях   упразднения национально-регионального компонента образования,"800 000,00","Республики Адыгея, Башкирия, Бурятия, Дагестан, Кабардино-Балкария,   Калмыкия, Карелия, Коми, Марий Эл, Мордовия, Чувашия, Якутия, Алтай,   Татарстан, Удмуртия, г. Москва, Оренбургская, Томская области, Хабаровский   край, Краснодарский край"
