295,"Тульская 			региональная общественная организация ""Центр духовного и физического 			здоровья ""София""",Тульская область,"детский 			фестиваль ""Мир, в котором мы живем""","200 000,00"
302,Региональная 			профессиональная общественная организация Рязанское библиотечное общество,Рязанская 			область,"Межрегиональная 			конференция ""Библиотека - территория толерантности""","185 000,00"
306,"Ярославское 			региональное отделение Общероссийской общественной организа-ции 			""Ассамблея народов России""",Ярославская 			область,"""Школа 			этнотолерантности"" (""Школа дружбы народов"")","500 000,00"
311,"Международный 			общественный фонд ""Фонд национальной и международной безопасности""",г. Москва,"""Молодежная 			общественная дипломатия в странах СНГ и Балтии: российский вектор""","2 000 000,00"
314,"Сахалинская 			областная общественная организация Клуб ""Бумеранг""",Сахалинская 			область,Сахалин: человек 			и море,"158 000,00"
316,"Некоммерческое 			учреждение ""Культурно-спортивный реабилитационный комплекс""  Татарской  			региональной организации Общественной организации инвалидов 			Всероссийского ордена Трудового Красного Знамени общества слепых",Республика 			Татарстан,"Студия 			звукозаписи ""Прикосновение""","500 000,00"
319,"Межрегиональная 			общественная организация помощи детям с особенностями психоречевого развития 			и их семьям ""Дорога в мир""",г. Москва,"Пусть будет 			дверь открыта! (поддержка социальной адаптации и интеграции молодых людей - 			инвалидов с тяжелыми нарушениями интеллекта, психики и поведения)","350 000,00"
329,"Региональное 			молодежное общественное движение ""Диалог""",Чеченская 			республика,"""Добровольчество 			и Народная дипломатия""","500 000,00"
332,"Некоммерческая 			организация ""Благотворительный фонд поддержки и развития русского 			романса ""Романсиада""",г. Москва,Международный 			конкурс молодых исполнителей русского романса,"800 000,00"
349,"Кировская 			областная общественная молодежная поисковая организация ""Долг""",Кировская 			область,"""Плацдарм""","400 000,00"
358,"Автономная 			некоммерческая организация ""Московская педагогическая академия""",г. Москва,"""Духовно-нравственное 			и патриотическое воспитание в современной системе образования""","4 000 000,00"
359,"Благотворительный 			фонд поддержки культуры и народного творчества ""Наследие соловьиного 			края""",Курская область,Художественная 			культура провинции - национальное достояние народа.,"500 000,00"
361,"Фонд 			Научных исследований ""XXI век""",Санкт-Петербург,Молодежные 			научные проекты. От идеи до реализации,"500 000,00"
