Реестр	Уч.№	Наименование	ОГРН	Дата ОГРН	Адрес	Форма	Регион	Статус				
Общественные объединения	3212110656	Первичная профсоюзная организация Новозыбковского муниципального предприятия многоотраслевого управления коммунального хозяйства Общероссийского профсоюза работников местной промышленности и коммунально-бытового хозяйства.	1033200009545	14.04.2003	243000	 ул. Красная площадь, д. 11.	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212110548	Первичная профсоюзная организация Клинцовского жилищно ремонтно-эксплуатационного управления Брянской областной организации Общероссийского профсоюза рабочих местной промышленности и коммунально-бытовых услуг			243100	 Брянская обл., Клинцовский р-н, г. Клинцы, ул. Первомайская,  51	Профессиональный союз	Брянская область	Зарегистрирована			
Общественные объединения	3212111009	"Первичная профсоюзная организация Рогнединского филиала государственного унитарного предприятия  ""Брянскоблводоканал"" Брянской областной организации Общероссийского профсоюза местной промышленности и коммунально-бытовых предприятий"			242750	 Брянская область , Рогнединский р-н, пос. Рогнедино, ул. Горького, д. 17.	Профессиональный союз	Брянская область	Зарегистрирована			
Общественные объединения	3212110884	"Первичная профсоюзная организация муниципального предприятия ""Дятьковский ЖЭУ"" профсоюза рабочих местной промышленности и коммунально-бытовых предприятий."	1023200006576	31.12.2002	242630	 Брянская обл., Дятьковский р-н, г. Дятьково, ул. К. Маркса, д. 4	Профессиональный союз	Брянская область	Зарегистрирована			
Общественные объединения	3212110627	"Первичная профсоюзная организация закрытого акционерного общества ""Тонус"" г. Унеча Общероссийского профсоюза работников местной промышленности и коммунально-бытовых предприятий"			243200	 Брянская обл., Унечский р-н, г. Унеча, ул. Совхозная, д. 30	Профессиональный союз	Брянская область	Зарегистрирована			
Общественные объединения	3212010656	"Брянское региональное отделение Общероссийской общественной организации ""Содействие Федеральной Пограничной Службе"""	1043200001305	25.03.2004	241000	 пр-т. Ленина, д. 39, оф. 527	Общественная организация	Брянская область	Исключена			
Общественные объединения	3212010687	"Брянская областная организация общероссийской общественной организации-политической партии ""Аграрная партия России"""			241000	 ул. Горького, д. 58	Общественная организация	Брянская область	Исключена			
Общественные объединения	3212111002	"Первичная профсоюзная организация Суземского филиала государственного унитарного предприятия ""Брянскоблводоканал"" Брянской областной организации Общероссийского профсоюза рабочих местной промышленности и коммунально-бытовых предприятий."			242200	 ул. Первомайская, д. 61.	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212110940	"Первичная профсоюзная организация Злынковского филиала ГУП ""Брянскоблводоканал"" Общероссийского профсоюза рабочих местной промышленности и коммунально-бытовых предприятий."			243022	 Брянская область, Злынковский р-н, г. Злынка, ул. Коммунальная, д. 15	Профессиональный союз	Брянская область	Зарегистрирована			
Общественные объединения	3212110978	Первичная профсоюзная организация Унечского муниципального унитарного предприятия жилищно-коммунального обслуживания профсоюза рабочих местной промышленности и коммунально-бытовых предприятий	1033200007587	10.02.2003	243300	 Брянская область , Унечский р-н, г. Унеча, ул. Ленина, д. 1	Профессиональный союз	Брянская область	Зарегистрирована			
