Реестр	Уч.№	Наименование	ОГРН	Дата ОГРН	Адрес	Форма	Регион	Статус				
Некоммерческие организации	6314040201	"Негосударственное образовательное учреждение Учебный центр ""ВОТУМ-2"""	1036300443200	30.01.2003	443001, Самарская область, г. Самара, ул. Садовая, д. 313	 443010, Самарская область, г. Самара, ул. Самарская, д. 76	Учреждение	Самарская область	Зарегистрирована			
Некоммерческие организации	6314040271	"Негосударственное учреждение дополнительного образования ""Лингвистическая школа ""Виндзор"""	1036301057880	21.03.2003	445021, Самарская область, г. Тольятти, ул. Ленина, д. 7, кв. 11	 445031, Самарская область, б-р Татищева, д. 6	Учреждение	Самарская область	Зарегистрирована			
Некоммерческие организации	6314030754	"Некоммерческое Партнерство ""Спортивный Клуб ""АРГО"""	1126300004610	14.08.2012	446031, Самарская область, г. Сызрань, ул. 50 лет Октября, 37 - 44	Почтовый адрес: 443030, г. Самара, ул. Владимирская, 7 - 120	Некоммерческое партнерство	Самарская область	Зарегистрирована			
Общественные объединения	6312110134	Нефтегорская районная организация Профсоюза работников народного образования и науки РФ	1036303382136	31.01.2003	446250, г.Нефтегорск, ул.Ленина, 2	 В ЕГРЮЛ-Самарская обл., г.Нефтегорск, ул.Мира,5	Профессиональный союз	Самарская область	Зарегистрирована			
Общественные объединения	6312012234	Октябрьская районная общественная организация ветеранов (пенсионеров) войны, труда, вооруженных сил и правоохранительных органовгородского округа Самара	1096300002468	23.07.2009	443110, г.Самара, ул. Ново-Садовая, 20, ком. 4	5	Общественная организация	Самарская область	Зарегистрирована			
Общественные объединения	6312011579	"Региональная общественная организация ""Ассоциация владельцев жилья Самарской области"""	1036303389704	15.03.2003	443090, г. Самара, ул. А. Овсеенко, дом 44	 443031, Самарская область, г. Самара, ул. Демократическая, д. 8, кв. 78	Общественная организация	Самарская область	Зарегистрирована			
Общественные объединения	6312110017	Самарская областная организация Профсоюза работников народного образования и науки Российской Федерации	1026300002387	13.09.2002	443099, г. Самара, ул.Куйбышева, 68/70	 443099, Самарская область, г. Самара, ул. Куйбышева, д. 90	Профессиональный союз	Самарская область	Зарегистрирована			
Общественные объединения	6312110037	Самарская областная организация профсоюза трудящихся авиационной промышленности	1036303380794	20.01.2003	443077, г.Самара, ул.Свободы, 180, кв.31	новый: 443071, г. Самара, Волжский проспект, 19, оф. 37	Профессиональный союз	Самарская область	Зарегистрирована			
Общественные объединения	6312011613	"Чапаевская городская общественная организация ""Ассоциация медицинских работникоа города Чапаевска"""	1036303380915	23.01.2003	"446100 г.Чапаевск, Самарская обл., ул.Ленина, 54 ""Б""  446100, Самарская обл., г. Чапаевск, ул. Медицинская, 3"	 446100, Самарская область, г. Чапаевск, ул. Медицинская 3а	Общественная организация	Самарская область	Зарегистрирована			
Некоммерческие организации	6314040117	"Частное учреждение социальных услуг ""Стройсервис"""	1056315141167	02.12.2005	443001 Самарская обл   Самара ул. Спортивная 12-9	443004, Самарская область, г. Самара, ул. Калининградская, д. 1, кв. 104	Учреждение	Самарская область	Зарегистрирована			
Некоммерческие организации	7814050080	"Автономная некоммерческая организация ""Молодежный включенный театр ""Питер Шед"""	1077800005392	13.02.2007	199004, СПб, Средний пр. В.О. д.36/40	38	Автономная некоммерческая организация	Санкт-Петербург	Исключена			
Некоммерческие организации	7814010435	Международный благотворительный фонд поддержки математики имени Леонарда Эйлера «ФОНД ЭЙЛЕРА»		1067847306416	16.02.2006	194044, СПб, ул. Тобольская, д.3, лит.А, пом.5Н	Некоммерческий фонд	Санкт-Петербург	Зарегистрирована			
Общественные объединения	7812013652	"Межрегиональная общественная организация ""Спортивно-охотничий клуб ""ЛИОН"""	1037858020892	12.04.2002	191123, Санкт-Петербург, ул. Чайковского, д.20, литер В, пом.29-Нстарый адрес	 СПб, Белградская ул., д. 30, пом. 17Н, лит. А	Общественная организация	Санкт-Петербург	Зарегистрирована			
Общественные объединения	7812030268	Межрегиональный благотворительный общественный фонд социальной поддержки и защиты граждан, пострадавших в результате: стихийных бедствий, экологических, промышленных катастроф	" социальных, национальных и религиозных конфликтов ""Надежда-Россия"""	1097800000671	28.01.2009	196244, СПб, Витебский пр., 41, к. 1.	Общественный фонд	Санкт-Петербург	Исключена			
Некоммерческие организации	7814230017	"Негосударственный пенсионный фонд ""Пенсионный фонд ""Промышленно-строительного банка"""	1037843029432	04.02.2003	197101, Санкт-Петербург, ул. Чапаева, д.15, д.15, литера А(Старый адрес: 197101, СПб, Петроградская наб., д.34	 197101, Санкт-Петербург, Петроградская набережная, дом 36, литера А)	Негосударственный пенсионный фонд	Санкт-Петербург	Зарегистрирована			
Некоммерческие организации	7814031512	Некоммерческое партнерство по развитию и популяризации технологий и знаний уплотнительной техники	 формированию цивилизованного рынка уплотнительной техники	 содействию научно-техническому прогрессу в области уплотнительной техники и технологий «Уплотнительная техника»	1087800002025	24.03.2008	197348, Санкт-Петербург, Коломяжский пр., д.10, лит.И	Некоммерческое партнерство	Санкт-Петербург	Зарегистрирована		
Общественные объединения	7812110420	"Объединенная первичная профсоюзная органзация открытого акционерного общества ""Лентелефонстрой"" Территориальной Санкт-Петербурга и Ленинградской области организации Профсоюза работников связи России(Объединенная первичная профсоюзная организация открытого акционерного общества ""Лентелефонстрой"" Межрегиональной Санкт-Петербурга и Ленинградской области организации общероссийского профсоюза работников связи Российской Федерации"	"   Первичная профсоюзная организация открытого акционерного общества ""Лентелефонстрой"" Межрегиональной Санкт-Петербурга и Ленинградской области организации общероссийского профсоюза работников связи Российской Федерации)"	1037858008968	07.02.2003	190000, Санкт-Петербург, улица Малая Морская, д.15/7	Профессиональный союз	Санкт-Петербург	Зарегистрирована			
Общественные объединения	7812110021	Первичная профсоюзная организация отдела вневедомственной охраны (ОВО) №3 при УВД Центрального района Санкт-Петербурга Свободного профсоюза работников службы вневедомственной охраны (СПРСВО) Санкт-Петербурга и Ленинградской области			Санкт-Петербург, Измайловский пр., д.8, офис 74	 191126, Санкт-Петербург, ул. Звенигородская, д.6	Профессиональный союз	Санкт-Петербург	Исключена			
Общественные объединения	7812010363	"Региональная общественная организация бывших военнослужащих СПЕЦНАЗа армии и флота ""РОС"""	1037858021442	29.04.1996	198207, Санкт-Петербург, пр. Ветеранов, д. 16, лит. А, пом. 14-Н, 18-Н, 19-Н, 23-Н	 1, 2 этажи	Общественная организация	Санкт-Петербург	Зарегистрирована			
Общественные объединения	7812014620	Региональная общественная организация по защите окружающей природной среды	 восстановлению и сохранению природных и культурно-исторических ценностей	 формированию экологической культуры населения «Зеленая Волна»	1087800002135	01.04.2008	194021, г.СПб, Институтский пер., д.5. лит.И(Прежний адрес:199178, Санкт-Петербург, 11-я линия В.О., д.64, лит.Д)	Общественная организация	Санкт-Петербург	Зарегистрирована		
Некоммерческие организации	7814031747	"Саморегулируемая организация  Некоммерческое партнерство  по содействию и развитию строительной  деятельности ""Содружество Строителей"""	1097800006259	22.10.2009	197110, Санкт-Петербург, ул. Малая Разночинная, дом 9, литер А(старый адрес	 197198, Санкт-Петербург, ул.Зверинская, д.22, лит.А, пом.17Н)	Некоммерческое партнерство	Санкт-Петербург	Зарегистрирована			
Некоммерческие организации	7814170062	"Специализированная Коллегия адвокатов""Санкт-Петербург"""	1057812515243	04.10.2005	190000, Спб, ул. Большая Морская, д. 45, офис 20.(старый адрес	 192029, пр. Обуховской обороны, д.89, лит.Б)	Коллегия адвокатов	Санкт-Петербург	Зарегистрирована			
Общественные объединения	7812110142	Территориальная организация Санкт-Петербурга и Ленинградской области Межрегионального профсоюза работников судостроения и судоремонта (2 наименование:Территориальная организация Санкт-Петербурга и Ленинградской области Межрегионального профсоюза работников судостроения	1 наименование:Территориальная организация профсоюза работников судостроения Санкт-Петербурга и Ленинградской области)	1027800000535	01.06.1998	190098, СПб, Конногвардейский бульвар, д.21	Профессиональный союз	Санкт-Петербург	Зарегистрирована			
Некоммерческие организации	7814041522	"Частное образовательное учреждение дополнительного образования ""Оксфорд вижн"""	1097800002520	13.04.2009	191186, Санкт-Петербург, Невский пр., д.19, литер А, пом.17Н(старый адрес 191040 Санкт-Петербург, Коломенская ул., д. 3 , лит А, пом. 4 -Н	 191123, Санкт-Петербург, ул. Кирочная, д. 12, лит. А, пом. 11Н)	Учреждение	Санкт-Петербург	Зарегистрирована			
Некоммерческие организации	7814041669	Частное образовательное учреждение дополнительного профессионального образования «Бизнес-школа «Институт Технологий Менеджмента»	1117800004035	26.04.2011	199044, Санкт-Петербург, Средний пр., д.36/40	38, литер И	Учреждение	Санкт-Петербург	Зарегистрирована			
Общественные объединения	6412010150	Саратовское региональное отделение Общероссийской общественной организации интеллектуальных патриотов гражданского общества «Поколение Ай Пи»	1116400004368	20.09.2011	Местонахождение - 410033, Саратовская область, г. Саратов, ул. Мира, д. 29, кв. 5		Общественная организация	Саратовская область	Зарегистрирована			
Общественные объединения	6412040176	Местное общественное учреждение «Добровольная пожарная команда Дергачевского муниципального района Саратовской области»	1116400005171	03.11.2011	Местонахождение - 413235, Саратовская область, Дергачевский район, р.п. Дергачи, ул. Коннова, д. 28		Общественное учреждение	Саратовская область	Зарегистрирована			
Некоммерческие организации	6414010111	Благотворительный детский фонд «Забота и Милосердие»	1116400004357		413840, Саратовская область, г. Балаково, Проспект Героев, д. 23/7		Некоммерческий фонд	Саратовская область	Зарегистрирована			
Религиозные организации	6411010081	Местная религиозная организация Церкви христиан веры евангельской «Саратовский христианский центр»	1026403347882		"410820, г. Саратов, ул. Чапаева,47, помещение ДК ""ВОГ"""	фактический адрес - г. Саратов, ул. Посадского,174	Религиозная организация	Саратовская область	Зарегистрирована			
Общественные объединения	6412010752	"Общественная организация ""Саратовское региональное астрологическое сообщество"""	1026403680181	19.12.2002	г. Саратов, юридический адрес: г.Саратов, ул.Рахова,124	 фактический адрес: г.Саратов, ул.Чапаева,161	Общественная организация	Саратовская область	Зарегистрирована			
Религиозные организации	6411010201	Местная религиозная организация православный Приход храма Иверской иконы Божией Матери г. Ртищево Саратовской области Саратовской Епархии Русской Православной Церкви (Московский Патриархат).	1116400004269	08.09.2011	412034, Саратовская область, г. Ртищево, ул. Железнодорожная, д. 15		Религиозная организация	Саратовская область	Зарегистрирована			
Общественные объединения	6412010149	Красноармейская местная организация Саратовской областной организации общероссийской общественной организации «Всероссийское общество инвалидов» (ВОИ)		1116400004291	08.09.2011	412800, Саратовская область, г. Красноармейск, ул. 1 Мая, д.61	Общественная организация	Саратовская область	Зарегистрирована			
Некоммерческие организации	6414170045	Коллегия адвокатов Саратовской области «АЛИБИ»		1116400003620	12.06.2011	410004, Саратовская область, г. Саратов, ул. Чернышевского, д. 60/62, офис  509	Коллегия адвокатов	Саратовская область	Зарегистрирована			
Религиозные организации	6411010176	Местная религиозная организация православный Приход храма Рождества Христова с. Синенькие Саратовского района Саратовской области Саратовской Епархии Русской Православной Церкви (Московский Патриархат).	1116400003730	20.07.2011	410517, Саратовская область, Саратовский район, с. Синенькие ул. Советская, д. 68		Религиозная организация	Саратовская область	Зарегистрирована			
Общественные объединения	6412011571	Кировская местная организация Саратовской областной организации общероссийской общественной организации «Всероссийское общество инвалидов» (ВОИ)		1026402671712	05.12.2002	410600, г. Саратов,ул. Вольская, д. 58,	Общественная организация	Саратовская область	Зарегистрирована			
Общественные объединения	6412040161	Общественное учреждение «Добровольная пожарная команда Энгельсского муниципального района Саратовской области»	1116400004632	18.10.2011	Местонахождение - 413116, Саратовская область, г. Энгельс-16, Промзона		Общественное учреждение	Саратовская область	Зарегистрирована			
Общественные объединения	6412040163	Местное общественное учреждение «Добровольная пожарная команда Калининского муниципального района Саратовской области»		1116400004566	13.10.2011	Местонахождение - 412457, Саратовская область, Калининский район, с. Малая Екатериновка, ул. Пролетарская, дом 70	Общественное учреждение	Саратовская область	Зарегистрирована			
Религиозные организации	6411010381	Местная религиозная организация православный Приход храма Казанской иконы Божией Матери с. Чернышевка Новобурасского района Саратовской области Саратовской Епархии Русской Православной Церкви (Московский Патриархат).	1116400005424	16.11.2011	Местонахождение: 412573, Саратовская область, Новобурасский район, село Чернышевка, ул. Чернышевского, д. 5А		Религиозная организация	Саратовская область	Зарегистрирована			
Религиозные организации	6411010377	Местная религиозная организация православный Приход храма – часовни Покрова Пресвятой Богородицы с. Хрущевка Самойловского района Саратовской области Саратовской Епархии Русской Православной Церкви (Московский Патриархат).	1116400004830	27.10.2011	Местонахождение: 412384, Саратовская область, Самойловский район, с. Хрущевка, ул. Почтовая, д. 2		Религиозная организация	Саратовская область	Зарегистрирована			
Общественные объединения	6412010164	Саратовская местная общественная организация «Попечительский Совет Гимназии № 2»	1116400005413	16.11.2011	Местонахождение - 410054, Саратовская область, г. Саратов, ул. Политехническая, д. 124		Общественная организация	Саратовская область	Зарегистрирована			
Религиозные организации	6411010379	Местная религиозная организация православный Приход храма Преподобного Сергия Радонежского с. Кошели Воскресенского района Саратовской области Саратовской Епархии Русской Православной Церкви (Московский Патриархат).	1116400005402	16.11.2011	Местонахождение: 413030, Саратовская область, Воскресенского район, село Кошели, ул. Молодежная, д. 8/2		Религиозная организация	Саратовская область	Зарегистрирована			
Общественные объединения	6412010169	Александрово - Гайская местная организация Саратовской областной организации общероссийской общественной организации «Всероссийское общество инвалидов» (ВОИ)	1116400005622	30.11.2011	Местонахождение - 413370, Саратовская область, Александрово – Гайский район, село Александров Гай, ул. Коммунистическая, д.19		Общественная организация	Саратовская область	Зарегистрирована			
Общественные объединения	6412010166	Общественная организация любителей отдыха на воде «Волжанин» Красноармейского района Саратовской области	1116400005479	21.11.2011	Местонахождение - 412822, Саратовская область, Красноармейский район, село Ахмат, ул. Советская, д. 33		Общественная организация	Саратовская область	Зарегистрирована			
Религиозные организации	6411010382	Местная религиозная организация православный Приход храма Святого Пророка Илии                с. Шумейка Энгельсского района Саратовской области Покровской Епархии Русской Православной Церкви (Московский Патриархат)	1116400005556	22.11.2011	Местонахождение: 413161, Саратовская область, Энгельсского района, с. Шумейка, ул. Степная, д. 43/2		Религиозная организация	Саратовская область	Зарегистрирована			
Религиозные организации	6411010375	Местная религиозная организация православный Приход храма Успения Пресвятой Богородицы с. Синенькие Петровского района Саратовской области Саратовской Епархии Русской Православной Церкви (Московский Патриархат).	1116400004753	25.10.2011	Местонахождение: 412526, Саратовская область, Петровский район, с. Синенькие, ул. Вишневая, д.5		Религиозная организация	Саратовская область	Зарегистрирована			
Общественные объединения	6412013459	Саратовская Региональная Общественная Организация «Общество любителей интеллектуальных, подвижных игр»		1086400001489	19.05.2008	410028, г. Саратов, ул. Бахметьевская, д.10, кв. 26	Общественная организация	Саратовская область	Зарегистрирована			
Общественные объединения	6412010168	Саратовская региональная общественная организация «Федерация армрестлинга Саратовской области»	1116400005633	30.11.2011	Местонахождение - 412540, Саратовская область, г. Петровск, ул. Фридриха Энгельса, д. 104		Общественная организация	Саратовская область	Зарегистрирована			
Общественные объединения	6412040165	Местное общественное учреждение «Добровольная пожарная команда Хвалынского муниципального района Саратовской области»	1116400004676	19.10.2011	Местонахождение - 412780, Саратовская область, г. Хвалынск, ул. Революционная, д. 110 «А»		Общественное учреждение	Саратовская область	Зарегистрирована			
Некоммерческие организации	6414040242	Частное образовательное учреждение дополнительного профессионального образования (повышения квалификации)   специалистов «Учебный центр охраны труда»	1116400004434	30.09.2011	410017, Саратовская область, г. Саратов, ул. Чернышевского Н.Г., д. 90, оф. 11		Учреждение	Саратовская область	Зарегистрирована			
Общественные объединения	6412010190	Саратовская региональная общественная организация имени В. Микоши по поддержке кино и телевидения	1126400000561	27.02.2012	Местонахождение - 410031, Саратовская область, г. Саратов, ул. Октябрьская, д. 43		Общественная организация	Саратовская область	Зарегистрирована			
Религиозные организации	6411010374	Местная религиозная организация православный Приход храма Равноапостольных царя Константина и матери его царицы Елены с. Красавка Самойловского района Саратовской области Саратовской Епархии Русской Православной Церкви (Московский Патриархат).	1116400004742	25.10.2011	Местонахождение: 412391, Саратовская область, Самойловский район,с. Красавка, ул. Ленина, д. 27		Религиозная организация	Саратовская область	Зарегистрирована			
Некоммерческие организации	6414040225	Частное образовательное учреждение дополнительного профессионального образования (повышения квалификации) специалистов «Учебный центр «Экология и промышленная безопасность»		1116400004379	20.09.2011	410040, Саратовская область, г. Саратов, пр-т 50 лет Октября,       д. 110 А		Учреждение	Саратовская область	Зарегистрирована		
Некоммерческие организации	6414040257	"Частное образовательное учреждение дополнительного профессионального образования (повышения квалификации) специалистов ""Центр профессионального образования"""	1126400001298	18.04.2012	Местонахождение: 413840, Саратовская область, г. Балаково, ул. Ленина, д.100		Учреждение	Саратовская область	Зарегистрирована			
Общественные объединения	6412040175	Местное общественное учреждение «Добровольная пожарная команда Ртищевского муниципального района Саратовской области»	1116400005193	03.11.2011	Местонахождение - 412030, Саратовская область, Ртищевский район, г. Ртищево, ул. Красная, д. 6		Общественное учреждение	Саратовская область	Зарегистрирована			
Общественные объединения	6412010146	«Физкультурно – спортивная общественная организация Молодежь и танцы» Саратовской области	1116400004258	02.09.2011	410039, Саратовская область, г. Саратов, Крымский проезд, д. 8		Общественная организация	Саратовская область	Зарегистрирована			
Общественные объединения	6412062826	Региональное отделение  в Саратовской области политической партии «Коммунистическая партия социальной справедливости»	1126400002794	12.07.2012	410052, г. Саратов, ул. Станционная, д.13,кв.2		Политическая партия	Саратовская область	Зарегистрирована			
Некоммерческие организации	6414040270	Частное образовательное учреждение дополнительного профессионального образования (повышения квалификации) специалистов и профессиональной подготовки «Центр обучения охранной деятельности»	1126400003245	14.08.2012	413841, Саратовская область, г. Балаково, ул. Титова, д.61		Учреждение	Саратовская область	Зарегистрирована			
Общественные объединения	6512110170	Холмская городская организация Сахалинской областной организации профсоюза работников народного образования и науки Российской Федерации	1026500001175	15.11.2002	г. Холмск,улица Комсомольская, 6	  изменения адреса, руководителя	Профессиональный союз	Сахалинская область	Зарегистрирована			
Некоммерческие организации	6514010063	"Муниципальное учреждение ""Фонд социальной поддержки населения"""	1026501020182		г. Холмск, ул. Чехова, д.55	 г. Холмск, ул. Советская, д. 93 А	Некоммерческий фонд	Сахалинская область	Исключена			
Общественные объединения	6512010315	"Автономная некоммерческая организация ""Эстетический центр ""Гармония"""	1026500005630	31.12.2002	город Южно-Сахалинск,улица Ленина, 172	по выписке из ЕГРЮЛ Спортивный проезд,19-А,кв.1	Общественная организация	Сахалинская область	Исключена			
Общественные объединения	6512010572	"Межрегиональная общественная организация ""Дальневосточно-Японский Гражданский Союз"""	1026500003045	24.12.2002	г. Южно-Сахалинск, Коммунистический проспект, д. 41, оф. 23	 почтовый адрес (а/я 398)	Общественная организация	Сахалинская область	Зарегистрирована			
Общественные объединения	6512010340	"Общественная организация ""Ассоциация предпринимателей малого и среднего бизнеса Корсаковского городского округа"""	1026500003529	26.12.2002	город Корсаков,пер.Рейдовый,2,каб.18	адрес по выписке из ЕГРЮЛ: г.Корсаков,ул.Советская,11	Общественная организация	Сахалинская область	Зарегистрирована			
Некоммерческие организации	6614040092	"Негосударственное образовательное учреждение ""Международный образовательный центр ""РОЗА МИРА"""	1056604016920	22.03.2011	Юридический адрес: 620026, Свердловская область, Екатеринбург, Карла Маркса, 8-307	Фактический адрес: Екатеринбург, Ленина, 64, Первомайская, 59	Учреждение	Свердловская область	Зарегистрирована			
Некоммерческие организации	6614040700	"Негосударственное образовательное учреждение ""Уральский межотраслевой региональный центр повышения квалификации и профессиональной переподготовки специалистов ""Потенциал"""	1036603985880	22.01.2003	620062, г. Екатеринбург, ул. Генеральская, д. 3, корп. А	А1, п. 14	Учреждение	Свердловская область	Зарегистрирована			
Общественные объединения	6612012108	"Туринское отделение Общественной организации Союз ветеранов Чеченской войны ""Долг"""	1126600004310		ул. Сакко и Ванцетти, д.59 (рук. орг.)	   ул. Гагарина, д. 62 (юр. адрес)	Общественная организация	Свердловская область	Исключена			
Некоммерческие организации	6714030143	"Некоммерческое партнерство ""Творческое Объединение Экология разума"""	1086700000342	19.06.2008	214030, г. Смоленск, ул. Нормандия-Неман, дом 17/2, кв. 53	почтовый адрес: 214000, Смоленск, а/я 107	Некоммерческое партнерство	Смоленская область	Зарегистрирована			
Некоммерческие организации	2614100069	"Дачное некоммерческое товарищество ""Ветеран"""	1032600941328		г. Ставрополь, р-он кожзавода	 г. Ставрополь, ул. Дзержинского, д. 141	Садоводческие, огороднические, дачные и иные некоммерческие товарищества	Ставропольский край	Исключена			
Некоммерческие организации	2614040338	"Негосударственное образовательное учреждение ""Центр информационных технологий в экономики"""			г. Пятигорск, пр. К	алинина, 11	Учреждение	Ставропольский край	Исключена			
Общественные объединения	6812020019	"Тамбовское облсатное общественное движение ""Координационный Совет партий"	" движений и организаций Тамбовской области"""	1056800003490	22.08.2005	392000, г. Тамбов, ул. Советская, д. 130	Общественное движение	Тамбовская область	Исключена			
Общественные объединения	7112010569	"Тульское региональное отделение Общероссийской политической общественной организации ""Отечество"""	1037100000145	09.01.2003	Совет: г.Тула, пр.Ленина, 57, оф.411	  Фактический адрес: г.Тула, ул.Агеева, д.1-Б	Общественная организация	Тульская область	Исключена			
Общественные объединения	7112010573	Тульское региональное отделение общественной организации Молодежный Союз Юристов Российской Федерации	1037100002158	30.01.2003	300000,  г.Тула, пр.Ленина, 102		Общественная организация	Тульская область	Исключена			
Общественные объединения	7112010531	"Тульская городская общественная организация ""Грузинское землячество"""	1037100000728	21.01.2003	юридический адрес: г.Тула, ул.Кирова, д.161-а	   почтовый адрес: 300041, г.Тула, ул.Болотникова, д.18	Общественная организация	Тульская область	Зарегистрирована			
Общественные объединения	7112010515	"Общественная организация ""Центр Мира Шри Чинмоя Тульской области"""	1037100003632	05.05.2003	39-19-89 г.Тула, ул.Бундурина, д.17-а		Общественная организация	Тульская область	Зарегистрирована			
Общественные объединения	7112030003	"Межрегиональный общественный фонд ""Защита Отечества"""	1027100003776	06.12.2002	300000, г.Тула, ул.Менделеевская, д.2		Общественный фонд	Тульская область	Исключена			
Общественные объединения	7112010395	"Тульская городская общественная организация ""Женские инициативы"""	1027100003622	05.12.2002	300000, Правление: г.Тула, ул.Тургеневская, д.59	  Фактический адрес: г.Тула, ул.Металлистов, д.4	Общественная организация	Тульская область	Зарегистрирована			
Общественные объединения	7112010513	"Тульская региональная общественая организация ""Клуб любителей спорта"""	1037100000838	21.01.2003	300000,  г.Тула, ул.Октябрьская, д.48		Общественная организация	Тульская область	Исключена			
Общественные объединения	7112010001	"Алексинское Тульской области районное отделение общероссийской общественной организации ""Российская оборонная спортивно-техническая организация - РОСТО (ДОСААФ)"""	1027100006570	18.12.2002	301367	 Тульская область, г.Алексин, ул.Мира, д.30	Общественная организация	Тульская область	Исключена			
